"","overallx","nrisk1","nrisk2","nrisk3","nrisk4","nrisk5","nrisk6","nrisk7","nrisk8","nrisk9","nrisk10","nrisk11","nrisk12","nrisk13","nrisk14","nrisk15","nrisk16","nrisk17","nrisk18","nrisk19","nrisk20","nrisk21","nrisk22","nrisk23","nrisk24","nrisk25","nrisk26","nrisk27","nrisk28","nrisk29","nrisk30","nrisk31","nrisk32","nrisk33","nrisk34","nrisk35","nrisk36","nrisk37","nrisk38","nrisk39","nrisk40","nrisk41","nrisk42","nrisk43","nrisk44","nrisk45","nrisk46","nrisk47","nrisk48","nrisk49","nrisk50","nrisk51","nrisk52","nrisk53","nrisk54","nrisk55","nrisk56","nrisk57","nrisk58","nrisk59"
"770",0,3,1,1,6,1,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6
"771",0,4,1,3,4,1,1,1,2,1,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,3,2,1,2,1,2,2,2,1,2,1,2,1,2,3,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
"772",0,6,5,3,5,3,4,2,2,2,2,2,3,2,2,3,3,3,4,4,2,2,3,4,4,4,3,4,4,4,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3
"773",0,4,1,2,3,1,1,1,2,1,1,1,1,2,1,3,1,1,3,3,2,2,1,1,3,3,3,1,3,2,1,1,2,2,2,1,1,1,1,1,1,1,3,3,2,2,1,1,1,1,3,2,1,1,1,1,1,1,2,2
"774",1,6,4,1,6,1,1,1,6,6,6,6,6,1,1,1,2,2,2,2,2,2,6,2,3,2,6,2,4,2,4,2,6,2,2,2,6,1,2,2,4,2,1,2,2,2,1,2,3,2,1,2,1,2,3,2,1,2,1,2
"775",0,5,1,1,5,1,1,1,2,1,1,1,1,2,1,2,1,2,2,2,1,2,1,1,1,3,3,2,1,2,1,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,3,2,1,2,2,2,2,2,2
"776",0,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1
"777",1,4,2,1,4,4,4,2,4,1,1,1,1,1,1,3,2,4,2,2,1,1,6,6,2,2,2,2,3,2,2,2,6,6,6,2,4,4,1,4,2,2,1,1,2,2,1,1,4,2,2,2,1,1,2,2,1,1,3,6
"778",0,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2
"779",0,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"780",0,6,1,2,6,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,2,2,2,4,3,3,2,2,2,3,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,1,1
"781",1,6,2,2,6,2,5,6,2,6,2,2,2,2,2,6,6,6,6,6,2,2,6,6,6,6,6,6,5,5,5,5,6,6,5,5,6,6,2,2,2,2,2,2,2,2,2,2,6,6,4,4,4,1,3,3,3,3,6,6
"782",0,6,2,1,6,1,2,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
"783",1,6,4,3,6,3,2,1,2,3,2,2,2,2,2,5,1,2,2,2,1,2,3,3,2,2,2,2,3,3,2,2,3,3,2,2,2,3,2,3,2,2,2,2,1,1,1,3,2,2,2,2,4,5,3,3,4,4,2,2
"784",0,3,2,1,2,1,1,1,1,1,1,1,1,2,2,4,4,2,1,1,2,2,2,2,4,2,4,4,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,2,2,2
"785",1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,1,1,2,2,4,5,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,4,2,4,2,4,2,4,2,1,5
"786",0,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,3,3,2,1,4,4,3,3,1,1
"787",0,2,4,3,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1
"788",1,2,1,1,5,6,1,4,4,1,2,1,1,1,1,4,1,1,1,1,1,1,4,5,2,2,2,2,5,5,1,1,6,6,1,1,5,6,5,5,5,5,2,2,1,1,5,6,4,4,4,4,2,2,3,3,1,1,1,1
"789",0,6,1,1,6,2,1,2,3,1,1,1,1,2,2,2,1,2,1,1,2,2,1,1,1,1,2,2,2,4,1,4,1,5,1,2,1,2,1,4,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2
"790",0,6,1,1,6,1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,1,2
"791",0,6,1,1,4,1,4,1,1,1,1,4,1,2,1,4,3,3,1,1,1,1,1,1,2,2,2,2,3,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"792",0,2,1,1,1,1,1,5,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,4,2,1,2,1,2,1,2,1,2
"793",0,3,3,3,3,3,2,2,3,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,2,2,6,6
